id,clave_entidad,Entidad_federativa,Clave_municipio,Municipio,Grupo,poblacion,Pobreza
183,7,Chiapas,7112,San Juan Cancuc,PoblaciĂłn indĂ­gena,38290,99.27
96,7,Chiapas,7024,Chanal,Población indígena,13806,99.12
184,7,Chiapas,7113,Aldama,Población indígena,8560,98.95
94,7,Chiapas,7022,Chalchihuitán,Población indígena,22114,98.88
98,7,Chiapas,7026,Chenalhó,Población indígena,47647,98.69
189,7,Chiapas,7118,San Andrés Duraznal,Población indígena,6011,98.52
128,7,Chiapas,7056,Mitontic,Población indígena,13869,98.4
136,7,Chiapas,7064,Oxchuc,Población indígena,54804,98.13
167,7,Chiapas,7096,Tila,Población indígena,75394,98.1
138,7,Chiapas,7066,Pantelhó,Población indígena,25875,98.02
192,7,Chiapas,7121,Rincón Chamula San Pedro,Población indígena,8384,97.9
154,7,Chiapas,7082,Sitalá,Población indígena,15419,97.71
169,7,Chiapas,7098,Totolapa,Población indígena,620,97.7
186,7,Chiapas,7115,Maravilla Tenejapa,Población indígena,8273,97.46
153,7,Chiapas,7081,Simojovel,Población indígena,46247,97.46
190,7,Chiapas,7119,Santiago el Pinar,Población indígena,5008,97.29
124,7,Chiapas,7052,Las Margaritas,Población indígena,96639,97.21
119,7,Chiapas,7047,Jitotol,Población indígena,22356,97.2
110,7,Chiapas,7038,Huixtán,Población indígena,21397,97.13
165,7,Chiapas,7093,Tenejapa,Población indígena,48487,97.11
