Indicador,,
Demografía y Sociedad > Población > Lengua indígena > Población de 5 ańos y más hablante de lengua indígena (Personas) Quinquenal 2020,,
,,
clave,Área geográfica,Población
7059,Ocosingo,151046
7031,Chilón,112229
7023,Chamula,86628
7078,San Cristóbal de las Casas,64906
7096,Tila,60552
7052,Las Margaritas,58692
7065,Palenque,49130
7077,Salto de Agua,47332
7064,Oxchuc,44968
7093,Tenejapa,40630
7026,Chenalhó,39654
7111,Zinacantán,39443
7081,Simojovel,33441
7100,Tumbalá,32298
7112,San Juan Cancuc,31732
7049,Larráinzar,25813
7109,Yajalón,22783
7066,Pantelhó,21064
7014,El Bosque,19911
7004,Altamirano,19854
7094,Teopisca,19654
7076,Sabanilla,19430
7038,Huixtán,18811
7022,Chalchihuitán,18148
7047,Jitotol,14781
7106,Venustiano Carranza,14451
7061,Ocozocoautla de Espinosa,14426
7013,Bochil,14318
7039,Huitiupán,13379
7082,Sitalá,12809
7101,Tuxtla Gutiérrez,12775
7060,Ocotepec,11641
7056,Mitontic,11240
7024,Chanal,11197
7072,Pueblo Nuevo Solistahuacán,8406
7099,La Trinitaria,7507
7113,Aldama,7248
7007,Amatenango del Valle,7222
7121,Rincón Chamula San Pedro,6606
7019,Comitán de Domínguez,6239
7005,Amatán,5887
7017,Cintalapa,5678
7115,Maravilla Tenejapa,5408
7025,Chapultenango,5399
7114,Benemérito de las Américas,5187
7124,Mezcalapa,5171
7044,Ixtapa,5108
7107,Villa Corzo,5037
7118,San Andrés Duraznal,4882
7033,Francisco León,4502
7116,Marqués de Comillas,4453
7067,Pantepec,4235
7119,Santiago el Pinar,4150
7027,Chiapa de Corzo,4023
7042,Ixhuatán,3820
7090,Tapalapa,3723
7092,Tecpatán,3719
7073,Rayón,3449
7089,Tapachula,3406
7020,La Concordia,3404
7085,Soyaló,3207
7108,Villaflores,2760
7012,Berriozábal,2381
7046,Jiquipilas,2262
7123,Emiliano Zapata,2063
7043,Ixtacomitán,2052
7041,La Independencia,2042
7021,Copainalá,1926
7075,Las Rosas,1628
7002,Acala,1508
7084,Solosuchiapa,1459
7034,Frontera Comalapa,1407
7015,Cacahoatán,1304
7048,Juárez,1158
7083,Socoltenango,1140
7091,Tapilula,1138
7110,San Lucas,1069
7018,Coapilla,1015
7079,San Fernando,972
7008,Angel Albino Corzo,931
7057,Motozintla,884
7045,Ixtapangajoya,781
7062,Ostuacán,681
7040,Huixtla,595
7068,Pichucalco,572
7122,El Parral,554
7098,Totolapa,548
7006,Amatenango de la Frontera,540
7016,Catazajá,460
7029,Chicoasén,414
7069,Pijijiapan,389
7063,Osumacinta,387
7097,Tonalá,338
7104,Tzimol,292
7070,El Porvenir,265
7053,Mazapa de Madero,258
7074,Reforma,253
7030,Chicomuselo,250
7009,Arriaga,193
7071,Villa Comaltitlán,190
7028,Chiapilla,173
7105,Unión Juárez,159
7051,Mapastepec,154
7050,La Libertad,153
7086,Suchiapa,149
7103,Tuzantán,141
7011,Bella Vista,128
7117,Montecristo de Guerrero,124
7087,Suchiate,123
7032,Escuintla,110
7102,Tuxtla Chico,85
7054,Mazatán,78
7035,Frontera Hidalgo,77
7037,Huehuetán,71
7080,Siltepec,61
7001,Acacoyagua,45
7036,La Grandeza,39
7003,Acapetahua,34
7058,Nicolás Ruíz,21
7055,Metapa,20
7010,Bejucal de Ocampo,18
7120,Capitán Luis Ángel Vidal,12
7088,Sunuapa,12
7125,Honduras de la Sierra,7
,,1387295
